created_at,entry_id,field1,field2
2020-03-24 16:51:04 +0530,1268,32.3,"48.10

"
2020-03-24 16:51:20 +0530,1269,32.2,"48.10

"
2020-03-24 16:51:37 +0530,1270,32.2,"48.20

"
2020-03-24 16:51:53 +0530,1271,32.2,"48.40

"
2020-03-24 16:52:09 +0530,1272,32.2,"48.50

"
2020-03-24 16:52:25 +0530,1273,32.2,"48.60

"
2020-03-24 16:52:41 +0530,1274,32.2,"48.80

"
2020-03-24 16:52:57 +0530,1275,32.2,"49.30

"
2020-03-24 16:53:13 +0530,1276,32.2,"49.40

"
2020-03-24 16:53:29 +0530,1277,32.2,"49.40

"
2020-03-24 16:53:45 +0530,1278,32.2,"49.50

"
